Papel;Segmento;Cotacao;FFO_Yield;Dividend_Yield;PVP;Valor_de_Mercado;Liquidez;Qtd_de_Imoveis;Preco_m2;Aluguel_m2;Cap_Rate;Vacancia_Media
AAZQ11;Outros;7.99;0.1311;0.0702;0.92;192058000.0;679849.0;0;0.0;0.0;0.0;0.0
ABCP11;Shoppings;79.8;0.0956;0.0969;0.72;375785000.0;71903.0;1;5242.97;634.43;0.121;0.012199999999999999
AEFI11;Outros;174.9;0.0855;0.0;1.75;411893000.0;0.0;0;0.0;0.0;0.0;0.0
AERO11;Logística;100.01;0.0;0.0;1.01;62732400.0;470210.0;0;0.0;0.0;0.0;0.0
AFCR11;Multicategoria;103.15;0.1261;0.0;1.07;498867000.0;0.0;0;0.0;0.0;0.0;0.0
AFHF11;Outros;10.0;0.0742;0.1011;0.98;50000000.0;156445.0;0;0.0;0.0;0.0;0.0
AFHI11;Multicategoria;95.3;0.115;0.12539999999999998;1.0;456410000.0;833091.0;0;0.0;0.0;0.0;0.0
AFOF11;Títulos e Val. Mob.;91.6;0.008199999999999999;0.0;12.28;1390540000.0;0.0;0;0.0;0.0;0.0;0.0
AGCX11;Varejo;1235.5;0.0053;0.0;11.57;19291500000.0;0.0;82;63941.3;468.9;0.0073;0.038599999999999995
AGRX11;Outros;8.93;0.0771;0.0707;0.85;159875000.0;311635.0;0;0.0;0.0;0.0;0.0
AIEC11;Escritórios;59.75;0.0611;0.06709999999999999;0.78;288293000.0;705485.0;2;11361.7;906.47;0.07980000000000001;0.0
AJFI11;Shoppings;8.3;0.08460000000000001;0.0779;0.74;262496000.0;321846.0;12;594.16;58.86;0.09910000000000001;0.033
ALMI11;Escritórios;698.99;0.0663;0.0637;0.34;77711600.0;12644.0;1;1692.7;229.74;0.13570000000000002;0.46799999999999997
ALZC11;Outros;7.96;0.1208;0.1613;0.87;157142000.0;351202.0;0;0.0;0.0;0.0;0.0
ALZM11;Títulos e Val. Mob.;6.4;0.1176;0.0;0.86;97155500.0;0.0;0;0.0;0.0;0.0;0.0
ALZR11;Multicategoria;10.75;0.092;0.0926;1.01;1314360000.0;2359860.0;23;3462.3;291.22;0.08410000000000001;0.1125
