Papel,Cotacao,PL,PVP,PSR,DY,PAtivo,PCapGiro,PEBIT,PAtivCircLiq,EVEBIT,EVEBITDA,MargEBIT,MargLiq,LiqCorr,ROIC,ROE,Liq2meses,PatrimLiquido,DivBrutaPatrim,CrescRec5a
PMET3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","4,10%","0,00","-290.863.000,00","0,00","37,74%"
MNSA3,"0,42","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
MNSA4,"0,47","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","-208,15%","-362,66%","3,63","-13,50%","145,70%","0,00","-9.105.000,00","-6,52","-41,11%"
IVTT3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-0,40%","0,00","1.083.050.000,00","0,00","20,67%"
CSTB4,"147,69","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CSTB3,"150,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","40,85%","28,98%","2,60","22,40%","20,11%","0,00","8.420.670.000,00","0,14","31,91%"
CFLU4,"1.000,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,88%","10,72%","1,10","17,68%","32,15%","0,00","60.351.000,00","0,06","8,14%"
PORP4,"2,40","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,08%","0,00","22.399.000,00","0,00","13,66%"
POPR4,"10,17","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","8,66%","5,65%","1,08","15,25%","19,93%","0,00","545.803.000,00","0,82","30,93%"
CLAN3,"0,00","0,00","0,00","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-1,05%","0,00","1.012.240.000,00","0,00","-63,96%"
GNDI3,"66,95","-3.584,82","5,84","3,423","2,39%","2,378","79,65","87,05","-6,21","91,13","50,88","3,93%","-0,09%","1,17","3,09%","-0,16%","0,00","7.116.080.000,00","0,53","25,23%"
POSI3,"4,19","-1.500,36","0,37","0,174","10,82%","0,134","0,50","2,58","5,85","4,91","3,72","6,73%","0,14%","1,69","7,78%","-0,02%","6.018.960,00","1.596.430.000,00","0,84","0,49%"
AGRO3,"21,41","-1.394,08","1,06","2,159","3,52%","0,589","5,41","94,46","-3,77","148,95","35,29","2,29%","-0,15%","1,61","0,67%","-0,08%","3.837.160,00","2.078.030.000,00","0,64","-11,84%"
PLDN4,"486,00","-553,07","1,08","0,919","0,00%","0,611","1,07","-75,56","3,10","-33,12","-33,12","-1,22%","-0,17%","10,81","-1,27%","-0,20%","0,00","289.939.000,00","0,01","10,26%"
CBEE3,"9,98","-500,68","0,46","0,463","3,52%","0,211","-2,02","3,25","-0,67","6,16","4,10","14,26%","-0,09%","0,68","7,34%","-0,09%","2.583,33","9.884.100.000,00","0,44","4,14%"
LCSA4,"35,09","-337,52","-228,00","79,738","0,00%","125,308","-202,27","-505,80","-96,61","-506,56","-506,56","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
BHGR3,"19,10","-272,16","1,10","3,613","0,00%","0,855","-194,45","23,70","-8,56","25,95","14,20","15,24%","-1,31%","0,96","3,93%","-0,40%","0,00","1.077.600.000,00","0,20","20,67%"
DMMO3,"1,76","-258,65","-1,72","2,854","0,00%","3,346","11,90","6,37","-1,37","5,90","5,42","44,81%","-1,10%","2,25","70,39%","0,66%","0,00","-553.275.000,00","0,00","-17,37%"
WDCN3,"2,59","-238,21","0,26","0,187","7,34%","0,114","0,50","1,12","-2,11","-0,28","-0,12","16,61%","-0,07%","1,84","12,67%","-0,11%","77.215,50","642.573.000,00","0,00","-6,96%"
RJCP3,"0,01","-224,70","0,65","0,000","0,00%","0,619","0,00","-522,94","0,00","-523,96","-917,32","0,00%","0,00%","0,00","0,00%","-0,29%","0,00","17.287.200,00","0,00","0,00%"
ABYA3,"4,91","-214,80","1,76","2,055","0,00%","0,527","1,98","19,96","-2,75","33,67","33,67","10,29%","-0,96%","2,09","2,78%","-0,82%","0,00","292.060.000,00","1,31","16,41%"
PITI4,"1,28","-204,74","0,00","0,000","0,00%","0,000","0,00","-2.637,65","0,00","-2.637,65","111,07","0,00%","0,00%","0,00","0,00%","0,00%","0,00","0,00","0,00","-29,63%"
GOLL4,"0,79","-189,23","-60,87","44,173","0,00%","35,579","-192,97","-2.431,67","-27,99","-2.463,64","405,91","-1,82%","-23,34%","0,63","-1,83%","32,16%","0,00","-15.618.800.000,00","-0,99","31,73%"
DTCY3,"2,50","-169,68","22,50","3,364","0,00%","3,808","8,72","-110,87","27,52","-96,44","40,01","-3,03%","-1,98%","1,82","-7,06%","-13,26%","408,62","1.237.000,00","0,00","-8,86%"
LCSA3,"12,50","-120,23","-81,22","28,405","0,00%","44,638","-72,05","-180,18","-34,41","-180,95","-180,95","-15,77%","-23,63%","0,29","-28,74%","67,55%","0,00","-377.568.000,00","-0,35","6.354,07%"
MAGG3,"59,40","-119,98","1,32","0,684","0,00%","0,440","9,32","4,07","-1,55","6,41","5,34","16,82%","-0,57%","1,14","14,05%","-1,10%","0,00","2.246.130.000,00","1,03","9,27%"
SQIA3,"27,37","-110,33","3,70","3,592","0,00%","1,490","25,87","62,33","-3,84","67,32","18,50","5,76%","-2,88%","1,43","2,81%","-3,35%","0,00","650.717.000,00","0,65","46,32%"
LAND3,"8,98","-92,07","1,32","9,581","0,81%","1,013","-79,96","15,10","-5,71","15,87","15,06","63,46%","-10,41%","0,82","6,88%","-1,44%","441.864,00","652.360.000,00","0,10","-10,56%"
LINX3,"37,40","-90,95","4,38","7,885","1,52%","2,745","11,96","53,17","47,06","51,49","22,97","14,83%","-8,67%","2,14","6,82%","-4,81%","0,00","1.619.010.000,00","0,22","15,54%"
BNCA3,"70,30","-90,30","2,45","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-2,72%","0,00","3.068.150.000,00","0,00","2,41%"
AMIL3,"32,20","-73,28","7,70","1,129","0,00%","2,003","-16,95","136,58","-5,43","138,61","50,13","0,83%","-1,53%","0,75","2,22%","-10,51%","0,00","1.532.980.000,00","1,24","28,47%"
BRTP3,"35,71","-67,26","2,45","1,168","0,00%","0,684","8,98","6,03","-2,40","7,55","7,55","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
IDVL11,"140,00","-66,00","60,56","0,000","0,00%","0,000","0,00","0,00","0,00","0,00","0,00","0,00%","0,00%","0,00","0,00%","-91,76%","0,00","237.683.000,00","0,00","0,00%"
AURA33,"136,96","-64,77","20,34","5,819","0,59%","3,360","-392,68","11,10","-6,51","11,36","11,36","52,42%","-8,98%","0,97","42,98%","-31,41%","145.860.000,00","1.462.190.000,00","1,55","21,82%"
PEFX5,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
PEFX3,"19,00","-52,04","1,68","0,477","0,00%","0,597","20,34","5,75","-3,18","6,59","0,00","8,30%","-0,92%","1,07","11,77%","-3,24%","0,00","396.955.000,00","0,31","4,36%"
TUPY4,"48,21","-50,14","2,07","0,638","0,00%","0,647","1,77","13,11","-9,26","17,82","9,84","4,87%","-1,29%","2,45","7,03%","-4,13%","0,00","3.081.650.000,00","1,28","10,95%"
MTIG4,"23,00","-49,52","-359,15","56,001","0,00%","36,906","-50,93","-94,31","-44,00","-95,57","-104,60","-59,38%","-113,09%","0,27","-47,80%","725,28%","0,00","-7.835.380,00","-4,95","-26,54%"
SCLO3,"14,10","-48,69","-0,10","0,000","0,00%","0,240","-0,09","-29,24","-0,09","-87,63","-87,63","0,00%","0,00%","0,18","-0,83%","0,21%","0,00","-131.423.000,00","-0,21","0,00%"
TOYB4,"2,50","-47,96","-5,43","5,256","0,00%","4,405","-6,47","-9,04","-3,83","-9,15","-9,67","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
IMBI3,"5,01","-46,42","2,81","2.659,020","0,00%","0,518","-2,21","-97,12","-0,37","-104,72","-107,45","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
CLAN4,"3,00","-44,92","0,47","15,151","0,00%","0,406","-15,50","-82,56","-6,36","-97,43","22,68","-18,35%","-33,73%","0,73","-0,50%","-1,05%","0,00","1.012.240.000,00","0,08","-63,96%"
TOYB3,"2,29","-43,94","-4,97","4,815","0,00%","4,035","-5,93","-8,28","-3,50","-8,39","-8,87","-58,16%","-10,96%","0,49","-59,36%","11,31%","0,00","-13.852.000,00","-0,07","-26,99%"
EBTP3,"10,21","-43,56","1,17","0,548","0,00%","0,353","-502,47","6,42","-0,73","8,46","2,85","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
PCAR4,"72,11","-42,95","16,81","1,852","0,00%","1,921","-28,91","22,34","-3,39","23,66","13,71","8,29%","-4,26%","0,83","12,17%","-39,13%","0,00","2.106.000.000,00","1,95","-17,25%"
EBTP4,"10,00","-42,66","1,14","0,537","0,00%","0,346","-492,13","6,29","-0,71","8,33","2,81","8,53%","-1,03%","0,99","6,03%","-2,68%","0,00","10.782.200.000,00","0,39","22,10%"
BAHI4,"86,00","-41,84","34,34","6,666","0,00%","5,101","-22,30","1.042,55","-7,61","1.057,48","145,62","0,64%","-16,19%","0,33","0,51%","-82,07%","0,00","66.699.000,00","0,72","7,52%"
PCAR5,"67,12","-39,98","15,64","1,724","0,00%","1,788","-26,91","20,80","-3,15","22,12","12,81","8,29%","-4,26%","0,83","12,17%","-39,13%","0,00","2.106.000.000,00","1,95","-17,25%"
UCAS3,"1,41","-39,80","0,51","0,392","0,00%","0,243","7,11","-7,67","-1,02","-13,50","23,76","-5,11%","-0,98%","1,14","-3,69%","-1,28%","76.394,90","183.135.000,00","0,61","1,75%"
FBRA4,"34,58","-39,57","1,66","0,457","0,00%","0,738","18,94","7,40","-4,43","10,62","10,62","6,18%","-1,15%","1,11","11,94%","-4,20%","0,00","213.406.000,00","0,77","12,48%"
BRTP4,"20,81","-39,19","1,43","0,681","0,00%","0,399","5,23","3,51","-1,40","5,03","5,03","19,37%","-2,96%","1,29","13,41%","-3,64%","0,00","5.302.340.000,00","0,91","3,66%"
HBSA3,"3,96","-38,23","2,49","2,404","0,00%","0,830","4,89","8,87","-2,02","13,18","8,17","27,10%","-6,29%","2,97","11,60%","-6,52%","9.116.160,00","2.162.050.000,00","1,72","11,94%"
GPAR3,"14,05","-37,90","1,52","31,955","0,00%","1,438","3,21","-66,97","3,49","-52,22","-58,73","-47,72%","-84,39%","30,03","-3,22%","-4,00%","473,69","738.921.000,00","0,01","-45,75%"
AZTE3,"0,27","-37,28","0,36","29,784","0,00%","0,347","-12,98","-17,77","-9,31","-18,11","-19,89","-167,57%","-79,90%","0,14","-1,98%","-0,97%","1.010.030,00","252.553.000,00","0,01","0,00%"
ITEC3,"40,10","-35,12","22,04","2.611,690","0,00%","9,216","25,42","-26,00","-68,91","-24,80","-29,56","-10.044,70%","-7.435,88%","5,23","-63,06%","-62,76%","0,00","20.143.000,00","0,00","-74,79%"
MAPT4,"3,87","-33,55","-0,55","0,000","0,00%","4,601","-508,08","-39,96","-0,49","-39,96","-39,96","0,00%","0,00%","0,00","-11,51%","1,63%","219,18","-6.504.000,00","0,00","0,00%"
APER3,"46,75","-32,82","2,02","2,677","0,00%","1,015","115,28","14,43","-4,33","15,41","11,57","18,55%","-8,24%","1,03","8,33%","-6,15%","0,00","472.202.000,00","0,40","42,20%"
IMBI4,"3,50","-32,43","1,96","1.857,600","0,00%","0,362","-1,54","-67,85","-0,26","-75,44","-77,41","-2.737,88%","-13.821,20%","0,05","-0,54%","-6,05%","0,00","62.544.000,00","0,22","-57,16%"
PRTX3,"2,77","-32,27","-145,32","297,651","0,00%","1,400","-2,57","-97,11","-1,43","-128,99","37,19","-306,50%","-922,47%","0,05","-1,50%","450,37%","0,00","-18.917.000,00","-49,85","307,96%"
BAHI5,"65,00","-31,62","25,95","5,038","0,00%","3,856","-16,85","787,97","-5,75","802,91","110,57","0,64%","-16,19%","0,33","0,51%","-82,07%","0,00","66.699.000,00","0,72","7,52%"
DFVA3,"9,90","-31,38","60,69","4,327","0,00%","5,365","29,10","-55,91","-31,47","-58,28","-58,28","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
ASTA4,"25,83","-30,79","1,00","0,652","0,00%","0,446","2,57","19,90","-3,30","33,20","33,20","3,28%","-2,12%","1,71","2,52%","-3,25%","0,00","515.672.000,00","0,85","-4,73%"
VGOR4,"5,87","-29,58","7,18","1,229","0,00%","1,468","113,97","27,32","-3,22","34,09","34,09","4,50%","-4,59%","1,04","6,00%","-24,29%","0,00","135.178.000,00","1,89","4,77%"
CRBM3,"90,00","-28,95","3,26","1,498","0,00%","1,172","2,98","-15,45","16,90","-14,17","-14,17","-9,70%","-5,18%","2,24","-12,71%","-11,28%","0,00","827.347.000,00","0,45","-1,58%"
MAPT3,"3,00","-26,01","-0,42","0,000","0,00%","3,567","-393,86","-30,98","-0,38","-30,98","-30,98","0,00%","0,00%","0,00","-11,51%","1,63%","0,00","-6.504.000,00","0,00","0,00%"
DFVA4,"8,00","-25,35","49,04","3,497","0,00%","4,335","23,51","-45,18","-25,43","-47,55","-47,55","-7,74%","-13,79%","1,33","-10,35%","-193,42%","0,00","1.170.000,00","2,84","3,39%"
