Papel,Segmento,Cotacao,FFO_Yield,Dividend_Yield,PVP,Valor_de_Mercado,Liquidez,Qtd_de_Imoveis,Preco_m2,Aluguel_m2,Cap_Rate,Vacancia_Media
AAZQ11,Outros,"7,99","13,11%","7,02%","0,92",192.058.000,679.849,0,"0,00","0,00","0,00%","0,00%"
ABCP11,Shoppings,"79,80","9,56%","9,69%","0,72",375.785.000,71.903,1,"5.242,97","634,43","12,10%","1,22%"
AEFI11,Outros,"174,90","8,55%","0,00%","1,75",411.893.000,0,0,"0,00","0,00","0,00%","0,00%"
AERO11,Logística,"100,01","0,00%","0,00%","1,01",62.732.400,470.210,0,"0,00","0,00","0,00%","0,00%"
AFCR11,Multicategoria,"103,15","12,61%","0,00%","1,07",498.867.000,0,0,"0,00","0,00","0,00%","0,00%"
AFHF11,Outros,"10,00","7,42%","10,11%","0,98",50.000.000,156.445,0,"0,00","0,00","0,00%","0,00%"
AFHI11,Multicategoria,"95,30","11,50%","12,54%","1,00",456.410.000,833.091,0,"0,00","0,00","0,00%","0,00%"
AFOF11,Títulos e Val. Mob.,"91,60","0,82%","0,00%","12,28",1.390.540.000,0,0,"0,00","0,00","0,00%","0,00%"
AGCX11,Varejo,"1.235,50","0,53%","0,00%","11,57",19.291.500.000,0,82,"63.941,30","468,90","0,73%","3,86%"
AGRX11,Outros,"8,93","7,71%","7,07%","0,85",159.875.000,311.635,0,"0,00","0,00","0,00%","0,00%"
AIEC11,Escritórios,"59,75","6,11%","6,71%","0,78",288.293.000,705.485,2,"11.361,70","906,47","7,98%","0,00%"
AJFI11,Shoppings,"8,30","8,46%","7,79%","0,74",262.496.000,321.846,12,"594,16","58,86","9,91%","3,30%"
ALMI11,Escritórios,"698,99","6,63%","6,37%","0,34",77.711.600,12.644,1,"1.692,70","229,74","13,57%","46,80%"
ALZC11,Outros,"7,96","12,08%","16,13%","0,87",157.142.000,351.202,0,"0,00","0,00","0,00%","0,00%"
ALZM11,Títulos e Val. Mob.,"6,40","11,76%","0,00%","0,86",97.155.500,0,0,"0,00","0,00","0,00%","0,00%"
ALZR11,Multicategoria,"10,75","9,20%","9,26%","1,01",1.314.360.000,2.359.860,23,"3.462,30","291,22","8,41%","11,25%"
